product_id,product_name,category,price,sold_count,rating,review_count,shop_name,location,crawl_time,source_url,data_source_type,hot_score,opportunity_score
P00023,Fashion Accessories Essential 0023,Fashion Accessories,266,95,4.8,4,Sample Shop 104,New Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/23,synthetic_compliant_sample,45.48,56.39
P00024,Makeup Essential 0024,Makeup,405,119,4.49,14,Sample Shop 095,New Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/24,synthetic_compliant_sample,49.89,33.98
P00025,Skincare Essential 0025,Skincare,410,137,4.96,16,Sample Shop 071,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/25,synthetic_compliant_sample,59.77,38.1
P00026,Hair Care Essential 0026,Hair Care,946,46,4.72,2,Sample Shop 048,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/26,synthetic_compliant_sample,33.92,44.66
P00027,Fashion Accessories Essential 0027,Fashion Accessories,329,169,5.0,16,Sample Shop 035,Taoyuan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/27,synthetic_compliant_sample,62.42,60.93
P00028,Wellness Essential 0028,Wellness,265,93,4.84,10,Sample Shop 074,Taoyuan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/28,synthetic_compliant_sample,51.22,62.05
P00029,Feminine Care Essential 0029,Feminine Care,163,120,4.84,17,Sample Shop 004,Other,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/29,synthetic_compliant_sample,56.93,54.36
P00030,Feminine Care Essential 0030,Feminine Care,283,216,4.44,20,Sample Shop 009,Other,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/30,synthetic_compliant_sample,56.99,59.86
P00031,Skincare Essential 0031,Skincare,1030,262,4.7,34,Sample Shop 039,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/31,synthetic_compliant_sample,66.51,41.79
P00032,Makeup Essential 0032,Makeup,219,151,4.77,19,Sample Shop 070,Taoyuan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/32,synthetic_compliant_sample,58.67,40.32
P00033,Skincare Essential 0033,Skincare,562,17,4.58,2,Sample Shop 084,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/33,synthetic_compliant_sample,22.45,7.66
P00034,Fashion Accessories Essential 0034,Fashion Accessories,712,88,4.99,4,Sample Shop 013,Taichung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/34,synthetic_compliant_sample,47.87,42.63
P00035,Makeup Essential 0035,Makeup,471,26,4.24,4,Sample Shop 046,Taoyuan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/35,synthetic_compliant_sample,24.18,16.36
P00036,Makeup Essential 0036,Makeup,624,22,4.84,3,Sample Shop 039,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/36,synthetic_compliant_sample,30.99,21.34
P00037,Makeup Essential 0037,Makeup,355,27,4.28,3,Sample Shop 030,Tainan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/37,synthetic_compliant_sample,23.69,15.52
P00038,Skincare Essential 0038,Skincare,413,49,4.75,3,Sample Shop 082,Kaohsiung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/38,synthetic_compliant_sample,36.93,22.56
P00039,Fashion Accessories Essential 0039,Fashion Accessories,572,48,4.7,2,Sample Shop 002,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/39,synthetic_compliant_sample,33.99,35.21
P00040,Fashion Accessories Essential 0040,Fashion Accessories,447,198,4.73,15,Sample Shop 040,Taoyuan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/40,synthetic_compliant_sample,59.09,61.89
P00041,Wellness Essential 0041,Wellness,769,90,4.37,10,Sample Shop 089,New Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/41,synthetic_compliant_sample,43.2,49.56
P00042,Hair Care Essential 0042,Hair Care,418,311,4.38,40,Sample Shop 045,New Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/42,synthetic_compliant_sample,63.95,70.08
P00043,Skincare Essential 0043,Skincare,874,102,4.47,15,Sample Shop 033,Taichung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/43,synthetic_compliant_sample,48.53,30.25
P00044,Wellness Essential 0044,Wellness,366,41,3.85,6,Sample Shop 113,Other,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/44,synthetic_compliant_sample,24.26,49.36
P00045,Wellness Essential 0045,Wellness,549,281,4.33,15,Sample Shop 044,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/45,synthetic_compliant_sample,55.86,60.59
P00046,Makeup Essential 0046,Makeup,215,158,4.3,7,Sample Shop 095,Taoyuan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/46,synthetic_compliant_sample,45.25,36.02
P00047,Fashion Accessories Essential 0047,Fashion Accessories,498,273,4.8,39,Sample Shop 104,New Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/47,synthetic_compliant_sample,69.43,69.13
P00048,Fashion Accessories Essential 0048,Fashion Accessories,546,61,4.0,4,Sample Shop 082,Taoyuan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/48,synthetic_compliant_sample,28.19,39.71
P00049,Skincare Essential 0049,Skincare,243,61,4.22,7,Sample Shop 057,Taoyuan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/49,synthetic_compliant_sample,34.94,33.37
P00050,Skincare Essential 0050,Skincare,392,75,4.4,6,Sample Shop 065,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/50,synthetic_compliant_sample,38.94,28.78
